date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:18	18665/18665	---MCZ	200	added ('OK')	text/css	etag:W/%225cfef715-48e9%22	https://cybersoft.edu.vn/wp-content/plugins/dhvc-form/assets/css/style.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/plugins/dhvc-form/assets/css/style.css	(from https://cybersoft.edu.vn/)
15:07:18	30723/30723	---MCZ	200	added ('OK')	text/css	etag:W/%225afe83b8-7803%22	https://cybersoft.edu.vn/wp-content/themes/kallyas/framework/zion-builder/assets/css/znb_frontend.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/themes/kallyas/framework/zion-builder/assets/css/znb_frontend.css	(from https://cybersoft.edu.vn/)
15:07:19	77534/77534	---MCZ	200	added ('OK')	text/css	etag:W/%2265f27490-12ede%22	http://cybersoft.edu.vn/wp-content/uploads/zion-builder/cache/9-layout.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/uploads/zion-builder/cache/9-layout.css	(from https://cybersoft.edu.vn/)
15:07:19	469/469	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Apr%202016%2012:04:12%20GMT	https://cybersoft.edu.vn/wp-content/themes/kallyas-child/style.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/themes/kallyas-child/style.css	(from https://cybersoft.edu.vn/)
15:07:19	754/754	---M--	200	added ('OK')	application/rss+xml	date:Thu,%2016%20May%202024%2008:07:18%20GMT	https://cybersoft.edu.vn/restaurant-homepage/feed/	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/restaurant-homepage/feed/index.html	(from https://cybersoft.edu.vn/)
15:07:19	56788/56788	---MCZ	200	added ('OK')	text/css	etag:W/%225afe83b4-ddd4%22	https://cybersoft.edu.vn/wp-content/themes/kallyas/css/vendors/animate.min.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/themes/kallyas/css/vendors/animate.min.css	(from https://cybersoft.edu.vn/)
15:07:19	22807/22807	---MCZ	200	added ('OK')	text/css	etag:W/%2258d2c2e8-5917%22	https://cybersoft.edu.vn/wp-content/plugins/kallyas-addon-nav-overlay/assets/styles.min.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/plugins/kallyas-addon-nav-overlay/assets/styles.min.css	(from https://cybersoft.edu.vn/)
15:07:21	1929/1929	---MCZ	200	added ('OK')	text/css	etag:W/%225afe83b2-789%22	https://cybersoft.edu.vn/wp-content/themes/kallyas/css/print.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/themes/kallyas/css/print.css	(from https://cybersoft.edu.vn/)
15:07:21	35028/35028	---MCZ	200	added ('OK')	text/css	etag:W/%2265f2740b-88d4%22	http://cybersoft.edu.vn/wp-content/uploads/zn_dynamic.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/uploads/zn_dynamic.css	(from https://cybersoft.edu.vn/)
15:07:21	96874/96874	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d7085d2-17a6a%22	https://cybersoft.edu.vn/wp-includes/js/jquery/jquery.js	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-includes/js/jquery/jquery.js	(from https://cybersoft.edu.vn/)
